,gbifID,decimalLatitude,decimalLongitude,acceptedScientificName
0,2265576845,-5.229583,145.17846699999998,Artocarpus altilis (Parkinson) Fosberg
1,2265574180,-5.238167,145.170983,Artocarpus altilis (Parkinson) Fosberg
2,2265573562,-5.183333,145.783333,Artocarpus altilis (Parkinson) Fosberg
3,2265571622,-5.216667,145.683333,Artocarpus altilis (Parkinson) Fosberg
4,2265570022,-5.233683,145.171867,Artocarpus altilis (Parkinson) Fosberg
5,2265570018,-5.23088,145.18200000000002,Artocarpus altilis (Parkinson) Fosberg
6,2265569890,-5.229583,145.17846699999998,Artocarpus altilis (Parkinson) Fosberg
7,2265569289,-5.229433,145.173667,Artocarpus altilis (Parkinson) Fosberg
8,2265568782,-5.229583,145.17846699999998,Artocarpus altilis (Parkinson) Fosberg
9,2265568362,-5.2426330000000005,145.166733,Artocarpus altilis (Parkinson) Fosberg
10,2265568153,-5.229583,145.17846699999998,Artocarpus altilis (Parkinson) Fosberg
11,1424814396,-5.73222,145.25694,Artocarpus altilis (Parkinson) Fosberg
