Species name (English),Species name (Latin),Full species name on GBIF,TaxonKey,Crop,Progenitor,References taxonomy,References distribution,Count,Notes
Maize,Zea mays,Zea mays L.,5290052,X,,,,70711,
,Zea mays subsp. mexicana,Zea mays subsp. mexicana (Schrad.) Iltis,5290051,,X,(Matsuoka et al. 2002) & (Hufford et al. 2013),(Hufford Martinez-Meyer Gaut Eguiarte & Tenaillon 2012),1777,
,Zea mays subsp. parviglumis,Zea mays subsp. parviglumis Iltis & J.F.Doebley,5678457,,X,(Matsuoka et al. 2002) & (Hufford et al. 2013),(Hufford Martinez-Meyer Gaut Eguiarte & Tenaillon 2012),1113,
Rice,Oryza sativa,Oryza sativa L.,2703459,X,,,,288190,
,Oryza rufipogon,Oryza rufipogon Griff.,2703463,,X,(Garris Tai Coburn Kresovich & McCouch 2005),(Cai Wang & Morishima 2004),11051,
Broom-corn,Sorghum bicolor,Sorghum bicolor (L.) Moench,2705181,X,,,,57829,
,Sorghum bicolor subsp. verticilliflorum ,Sorghum bicolor subsp. verticilliflorum (Steud.) de Wet ex Wiersema & J.Dahlb.,4105880,,X,(Okeno Mutegi de Villiers Wolt & Misra 2012),(de Wet & Huckabay 2006),451,
Teff,Eragrostis tef,Eragrostis tef (Zuccagni) Trotter,2705325,X,,,,656,
,Eragrostis pilosa,Eragrostis pilosa P.Beauv.,2705400,,X,(Ingram & Doyle 2003),(Ponti 1978),10827,
Finger millet,Eleusine coracana,Eleusine coracana Gaertn.,2705957,X,,,,7978,
,Eleusine africana,Eleusine africana Kenn.-O'Byrne,4124350,,X,(Hilu & de Wet 1976),(Kennedy-O'Byrne 1957),689,
Barley ,Hordeum vulgare,Hordeum vulgare L.,2706056,X,,,,55853,
,Hordeum spontaneum,Hordeum spontaneum K.Koch,2706075,,X,(Badr et al. 2000),(Bioversityinternational.org n.d.),7809,
Common wheat,Triticum aestivum,Triticum aestivum L.,7795888,X,,,,78359,Triticum turgidum x Aegilops tauschii Hybrid (230000Ð430000 years ago)
,Triticum urartu,Triticum urartu Thumanjan ex Gandilyan,2706411,,X,(Marcussen et al. 2014),(Bioversityinternational.org n.d.-a),1875,
,Aegilops speltoides,Aegilops speltoides Tausch,5289790,,X,(Marcussen et al. 2014),(Bioversityinternational.org n.d.-a),1351,
,Triticum turgidum,Triticum turgidum L.,2706406,,X,(Marcussen et al. 2014),,41693,Triticum urartu x Aegilops speltoides Hybrid (580000Ð820000 years ago)
,Aegilops tauschii,Aegilops tauschii Coss.,5289779,,X,(Marcussen et al. 2014),(Bioversityinternational.org n.d.-a),2110,
Rye,Secale cereale,Secale cereale L.,2705966,X,,,,14904,
