Species name (English),Species name (Latin),Full species name on GBIF,TaxonKey,Crop,Progenitor,References taxonomy,References distribution,Count,Notes
Cassava,Manihot esculenta,Manihot esculenta Crantz,3060998,X,,,,32568,
,Manihot esculenta subsp. flabellifolia,Manihot esculenta subsp. flabellifolia (Pohl) Cif.,3061012,,X,(Olsen & Schaal 1999),(Olsen & Schaal 1999) & (Isendahl 2011),1146,
Potato,Solanum tuberosum,Solanum tuberosum L.,2930262,X,,,,17143,
,Solanum bukasovii,Solanum bukasovii Juz. ex Rybin,7299615,,X,(Spooner McLean Ramsay Waugh & Bryan 2005),(Hijmans & Spooner 2001),688,
Sweet potato,Ipomoea batatas,Ipomoea batatas (L.) Lam.,2928551,X,,,,18567,
,Ipomoea trifida,Ipomoea trifida (Kunth) G.Don,4267463,,X,(Srisuwan Sihachakr & Siljak-Yakovlev 2006),(Roullier et al. 2013),1680,
Taro,Colocasia esculenta,Colocasia esculenta (L.) Schott,5330776,X,,,,7310,
,Colocasia lihengiae,Colocasia lihengiae C.L.Long & K.M.Liu,5330771,,X,(Matthews Nguyen Tandang Agoo & A. Madulid 2015),-,4,
,Colocasia yunnanensis,Colocasia yunnanensis C.L.Long & X.Z.Cai,5330819,,X,(Matthews Nguyen Tandang Agoo & A. Madulid 2015),-,3,
,Colocasia formosana,Colocasia formosana Hayata,5330763,,X,(Matthews Nguyen Tandang Agoo & A. Madulid 2015),NOT AVAILABLE,101,
White yam,Dioscorea rotundata,Dioscorea rotundata Poir.,2755105,X,,,,4820,
,Dioscorea cayennensis,Dioscorea cayennensis Lam.,6406374,,X,(Arnott 2011),(Omosowon 2018),5639,
,Dioscorea praehensilis,Dioscorea praehensilis Benth.,2754460,,X,(Arnott 2011),(Omosowon 2018),691,
,Dioscorea abyssinica,Dioscorea abyssinica Hochst. ex Kunth,2754610,,X,(Arnott 2011),(Omosowon 2018),261,
Yellow yam,Dioscorea cayennensis,Dioscorea cayennensis Lam.,6406374,X,,,,5639,
,Dioscorea minutiflora,Dioscorea minutiflora Engl.,2755468,,X,(Leon 1977),NOT AVAILABLE,387,
Water yam,Dioscorea alata,Dioscorea alata L.,2754476,X,,,,4210,
,Dioscorea hamiltonii,Dioscorea hamiltonii Hook.f.,2754651,,X,(Lebot Trilles Noyer & Modesto 1998),NOT AVAILABLE,293,
,Dioscorea persimilis Prainet Burk.,Dioscorea persimilis Prain & Burkill,2754654,,X,(Lebot Trilles Noyer & Modesto 1998),NOT AVAILABLE,232,
Chinese yam,Dioscorea polystachya,Dioscorea polystachya Turcz.,2754732,X,,,,353,
,,,,,X,-,-,,
Air potato,Dioscorea bulbifera,Dioscorea bulbifera L.,2755489,X,,,,3972,
,,,,,X,-,-,,
Lesser yam,Dioscorea esculenta,Dioscorea esculenta (Lour.) Burkill,2755195,X,,,,512,
,,,,,X,-,-,,
Bitter yam,Dioscorea dumetorum,Dioscorea dumetorum Pax,2754673,X,,,,902,
,,,,,X,-,-,,
Indian yam,Dioscorea trifida,Dioscorea trifida L.f.,2755239,X,,,,346,
,,,,,X,-,-,,
Bananas,Musa x paradisiaca,Musa paradisiaca L.,2762752,X,,,,2298,
,Musa acuminata,Musa acuminata Colla,2762680,,X,(Simmonds & Shepherd 1955),(Perrier et al. 2011),1407,
,Musa balbisiana,Musa balbisiana Colla,2762950,,X,(Simmonds & Shepherd 1955),(Perrier et al. 2011),591,
Ensete,Ensete ventricosum,Ensete ventricosum (Welw.) Cheesman,2763050,X,,,,205,
,,,,,X,(Birmeta Nybom & Bekele 2004),-,,Wild progenitor has been subsumed by the cultivated crop
Common buckwheat,Fagopyrum esculentum,Fagopyrum esculentum Moench,2889373,X,,,,8058,
,Fagopyrum esculentum subsp. ancestrale,Fagopyrum esculentum subsp. ancestralis Ohnishi,4036222,,X,(Ohnishi & Matsuoka 2004),(Gondola & Papp 2010),0,
Tarty buckwheat,Fagopyrum tataricum,Fagopyrum tataricum Gaertn.,2889378,X,,,,1686,
,Fagopyrum tataricum subsp. potanini,,,,X,(Ohnishi & Matsuoka 2004),(Gondola & Papp 2010),,
Ground nut,Arachis hypogaea,Arachis hypogaea L.,5353770,X,,,,13767,
,Arachis duranensis,Arachis duranensis Krapov. & W.C.Greg.,5353841,,X,(Moretzsohn et al. 2013),(Seijo et al. 2004),775,
,Arachis ipaensis,Arachis ipaensis Krapov. & W.C.Greg.,5353793,,X,(Moretzsohn et al. 2013),(Seijo et al. 2004),38,
Winter squash [1],Cucurbita argyrosperma,Cucurbita argyrosperma Huber,7156471,X,,,,1454,
,Cucurbita sororia,Cucurbita sororia L.H.Bailey,3622291,,X,(Sanjur Piperno Andres & Wessel-Beaver 2002),(Lira Tellez & Davila 2009),12,
Winter squash [2],Cucurbita ficifolia,Cucurbita ficifolia Bouche,2874512,X,,,,1033,
,,,,,X,-,-,,
Winter squash [3],Cucurbita maxima,Cucurbita maxima (Duchesne) Duchesne ex Poir.,7655426,X,,,,3019,
,Cucurbita andreana,Cucurbita andreana Naud.,3623921,,X,(Sanjur Piperno Andres & Wessel-Beaver 2002),-,9,
Winter squash [4],Cucurbita moschata,Cucurbita moschata Duchesne ex Poir.,7393329,X,,,,3880,
,,,,,X,-,-,,
Winter squash [5],Cucurbita pepo,Cucurbita pepo L.,2874508,X,,,,7253,
,Cucurbita pepo subsp. fraterna,Cucurbita pepo subsp. fraterna (L.H.Bailey) Lira & al.,4939873,,X,(Sanjur Piperno Andres & Wessel-Beaver 2002),(Lira Tellez & Davila 2009),18,
Breadfruit,Artocarpus altilis,Artocarpus altilis (Parkinson) Fosberg,2984573,X,,,,1468,
,Artocarpus camansi,Artocarpus camansi Blanco,3765081,,X,(Zerega Ragone & Motley 2004),(Zerega Ragone & Motley 2005),19,
,Artocarpus mariannensis,Artocarpus mariannensis Trec.,8282919,,X,(Zerega Ragone & Motley 2004),(Zerega Ragone & Motley 2005),23,
Mango,Mangifera indica,Mangifera indica L.,3190638,X,,,,5997,
,Mangifera sylvatica,Mangifera sylvatica Roxb.,3662046,,X,(Mukherjee 1972),(Akhter et al. 2017),57,
Coconut,Cocos nucifera,Cocos nucifera L.,2735117,X,,,,4456,
,,,,,X,(Jerard Damodaran & Swarnam 2008),-,,Wild progenitor has been subsumed by the cultivated crop
Dates,Phoenix dactylifera,Phoenix dactylifera L.,6109699,X,,,,1861,
,Phoenix sylvestris,Phoenix sylvestris Roxb.,5293177,,X,"(Wales & Blackman, 2017)",-,26,"Sister species to Phoenix dactylifera, although wild progenitor populations have been found in Oman these still bear the name Phoenix dactylifera."
Sago,Metroxylon sagu ,Metroxylon sagu Rottb.,2733781,X,,,,53,
,,,,,X,-,-,,Wild progenitor has been subsumed by the cultivated crop
