,gbifID,decimalLatitude,decimalLongitude,acceptedScientificName
0,2248474467,-31.699721999999998,-63.531110999999996,Cucurbita maxima subsp. andreana (Naud.) Filov
1,2248472993,-31.599166999999998,-63.965832999999996,Cucurbita maxima subsp. andreana (Naud.) Filov
2,2248472642,-31.699721999999998,-63.531110999999996,Cucurbita maxima subsp. andreana (Naud.) Filov
3,2248472641,-30.974721999999996,-64.11027800000001,Cucurbita maxima subsp. andreana (Naud.) Filov
4,2248472533,-31.699721999999998,-63.531110999999996,Cucurbita maxima subsp. andreana (Naud.) Filov
5,2248472455,-31.699721999999998,-63.531110999999996,Cucurbita maxima subsp. andreana (Naud.) Filov
6,2248472429,-32.573333,-63.526667,Cucurbita maxima subsp. andreana (Naud.) Filov
7,2248472342,-31.699721999999998,-63.531110999999996,Cucurbita maxima subsp. andreana (Naud.) Filov
8,2248472317,-31.353056,-64.37138900000001,Cucurbita maxima subsp. andreana (Naud.) Filov
9,2248472105,-33.651111,-65.42611099999999,Cucurbita maxima subsp. andreana (Naud.) Filov
10,1931350452,-16.97,-63.27,Cucurbita maxima subsp. andreana (Naud.) Filov
11,1930788336,-16.93,-63.27,Cucurbita maxima subsp. andreana (Naud.) Filov
12,1930684728,-16.93,-63.27,Cucurbita maxima subsp. andreana (Naud.) Filov
13,1929927319,-16.97,-63.27,Cucurbita maxima subsp. andreana (Naud.) Filov
14,1928974103,-16.93,-63.27,Cucurbita maxima subsp. andreana (Naud.) Filov
15,1928592173,-16.93,-63.27,Cucurbita maxima subsp. andreana (Naud.) Filov
16,1927960508,-16.97,-63.27,Cucurbita maxima subsp. andreana (Naud.) Filov
17,1895775982,-31.508333,-64.008333,Cucurbita maxima subsp. andreana (Naud.) Filov
18,1823453430,-35.3869,-64.9208,Cucurbita maxima subsp. andreana (Naud.) Filov
19,1823453429,-35.3869,-64.9208,Cucurbita maxima subsp. andreana (Naud.) Filov
20,1823453428,-35.3869,-64.9208,Cucurbita maxima subsp. andreana (Naud.) Filov
21,1563633957,-31.666666999999997,-63.916666000000006,Cucurbita maxima subsp. andreana (Naud.) Filov
22,1563622808,-34.628499,-58.44703199999999,Cucurbita maxima subsp. andreana (Naud.) Filov
23,1563608925,-36.866667,-62.11666700000001,Cucurbita maxima subsp. andreana (Naud.) Filov
24,1563582889,-31.666666999999997,-63.916666000000006,Cucurbita maxima subsp. andreana (Naud.) Filov
25,1563573011,-34.628499,-58.44703199999999,Cucurbita maxima subsp. andreana (Naud.) Filov
26,1563544610,-35.033783,-58.024599,Cucurbita maxima subsp. andreana (Naud.) Filov
27,1563539285,-34.628499,-58.44703199999999,Cucurbita maxima subsp. andreana (Naud.) Filov
28,1563506589,-34.628499,-58.44703199999999,Cucurbita maxima subsp. andreana (Naud.) Filov
29,1304956185,-31.95,-63.666667000000004,Cucurbita maxima subsp. andreana (Naud.) Filov
30,1304862298,-36.816668,-62.216667,Cucurbita maxima subsp. andreana (Naud.) Filov
31,1304587403,-16.966667,-63.266667000000005,Cucurbita maxima subsp. andreana (Naud.) Filov
32,1304587384,-16.966667,-63.266667000000005,Cucurbita maxima subsp. andreana (Naud.) Filov
33,1304587363,-16.966667,-63.266667000000005,Cucurbita maxima subsp. andreana (Naud.) Filov
34,1304587213,-16.933332999999998,-63.266667000000005,Cucurbita maxima subsp. andreana (Naud.) Filov
35,1304587189,-16.933332999999998,-63.266667000000005,Cucurbita maxima subsp. andreana (Naud.) Filov
36,1304587188,-16.933332999999998,-63.266667000000005,Cucurbita maxima subsp. andreana (Naud.) Filov
37,1304587173,-16.933332999999998,-63.266667000000005,Cucurbita maxima subsp. andreana (Naud.) Filov
38,1304587120,-16.933332999999998,-63.266667000000005,Cucurbita maxima subsp. andreana (Naud.) Filov
39,1304300790,-29.004074,-57.652738,Cucurbita maxima subsp. andreana (Naud.) Filov
40,1302292597,-36.86,-62.11,Cucurbita maxima subsp. andreana (Naud.) Filov
41,1302292579,-31.66,-63.91,Cucurbita maxima subsp. andreana (Naud.) Filov
42,1302292562,-31.66,-63.91,Cucurbita maxima subsp. andreana (Naud.) Filov
43,1302292545,-35.03,-58.02,Cucurbita maxima subsp. andreana (Naud.) Filov
44,1302292525,-34.62,-58.44,Cucurbita maxima subsp. andreana (Naud.) Filov
45,1302292507,-34.62,-58.44,Cucurbita maxima subsp. andreana (Naud.) Filov
46,1302292488,-34.62,-58.44,Cucurbita maxima subsp. andreana (Naud.) Filov
47,1302292470,-34.62,-58.44,Cucurbita maxima subsp. andreana (Naud.) Filov
48,1260661722,-33.916667,-57.2,Cucurbita maxima subsp. andreana (Naud.) Filov
49,1258748292,-16.933329999999998,-63.266659999999995,Cucurbita maxima subsp. andreana (Naud.) Filov
50,416892271,-34.52,-58.51,Cucurbita maxima subsp. andreana (Naud.) Filov
51,416892270,-34.52,-58.51,Cucurbita maxima subsp. andreana (Naud.) Filov
52,416892266,-34.52,-58.51,Cucurbita maxima subsp. andreana (Naud.) Filov
53,416892265,-35.67,-57.92,Cucurbita maxima subsp. andreana (Naud.) Filov
54,416892264,-34.52,-58.51,Cucurbita maxima subsp. andreana (Naud.) Filov
55,416892259,-34.52,-58.51,Cucurbita maxima subsp. andreana (Naud.) Filov
56,416892258,-34.52,-58.51,Cucurbita maxima subsp. andreana (Naud.) Filov
57,416892229,-32.38,-58.58,Cucurbita maxima subsp. andreana (Naud.) Filov
58,40607191,-31.95,-63.666669999999996,Cucurbita maxima subsp. andreana (Naud.) Filov
